iter	Passed	Remaining
0	1	11066
1	3	10388
2	4	10095
3	5	9944
4	7	9962
5	10	11631
6	12	11981
7	13	11749
8	14	11464
9	16	11390
10	17	11244
11	19	11100
12	20	11040
13	22	11088
14	24	11339
15	26	11422
16	28	11323
17	29	11200
18	30	11089
19	32	11021
20	33	10932
21	35	10935
22	36	10862
23	37	10785
24	40	11231
25	43	11383
26	44	11339
27	45	11269
28	47	11241
29	49	11205
30	50	11136
31	51	11102
32	53	11072
33	55	11241
34	57	11254
35	59	11237
36	60	11213
37	62	11182
38	63	11155
39	65	11165
40	66	11144
41	68	11152
42	71	11435
43	73	11508
44	76	11573
45	77	11586
46	79	11564
47	80	11533
48	82	11539
49	84	11599
50	87	11695
51	88	11677
52	90	11642
53	91	11604
54	93	11585
55	94	11574
56	96	11542
57	97	11516
58	99	11494
59	100	11492
60	104	11656
61	105	11662
62	107	11629
63	108	11596
64	110	11596
65	112	11599
66	113	11581
67	115	11587
68	117	11607
69	119	11644
70	121	11689
71	123	11665
72	124	11663
73	126	11626
74	127	11591
75	128	11560
76	130	11537
77	132	11536
78	133	11543
79	135	11523
80	136	11496
81	138	11508
82	140	11493
83	141	11470
84	143	11449
85	144	11428
86	146	11417
87	148	11437
88	149	11436
89	151	11419
90	152	11425
91	154	11414
92	156	11461
93	158	11450
94	159	11440
95	161	11454
96	163	11454
97	165	11447
98	166	11444
99	168	11433
100	169	11414
101	171	11394
102	172	11390
103	174	11410
104	176	11434
105	178	11448
106	181	11502
107	182	11486
108	184	11498
109	186	11490
110	187	11476
111	189	11464
112	191	11452
113	192	11437
114	194	11469
115	196	11475
116	198	11481
117	200	11494
118	201	11480
119	203	11492
120	205	11482
121	207	11491
122	208	11476
123	210	11491
124	212	11505
125	214	11489
126	215	11474
127	217	11462
128	218	11463
129	220	11457
130	221	11448
131	223	11437
132	225	11458
133	227	11464
134	228	11449
135	230	11460
136	232	11464
137	234	11458
138	235	11447
139	237	11435
140	238	11425
141	240	11412
142	242	11421
143	243	11425
144	245	11426
145	247	11413
146	248	11415
147	250	11413
148	252	11401
149	253	11390
150	255	11382
151	256	11378
152	258	11380
153	260	11379
154	262	11400
155	264	11403
156	265	11402
157	268	11415
158	269	11421
159	272	11475
160	274	11480
161	276	11483
162	278	11484
163	279	11476
164	281	11467
165	283	11489
166	285	11480
167	286	11475
168	288	11481
169	290	11492
170	292	11484
171	294	11495
172	296	11519
173	298	11514
174	300	11510
175	301	11507
176	304	11531
177	306	11544
178	307	11541
179	309	11531
180	311	11541
181	313	11544
182	314	11540
183	316	11540
184	318	11538
185	320	11561
186	323	11584
187	324	11578
188	326	11569
189	327	11558
190	329	11547
191	330	11540
192	332	11540
193	334	11547
194	336	11550
195	338	11554
196	339	11545
197	341	11535
198	342	11529
199	344	11518
200	345	11508
201	347	11497
202	349	11524
203	351	11521
204	353	11516
205	354	11507
206	356	11507
207	358	11506
208	359	11501
209	361	11506
210	363	11497
211	366	11550
212	368	11558
213	370	11560
214	372	11559
215	373	11550
216	375	11549
217	377	11538
218	378	11528
219	380	11539
220	382	11547
221	384	11547
222	386	11537
223	387	11528
224	389	11545
225	391	11540
226	393	11534
227	394	11527
228	396	11536
229	398	11537
230	400	11528
231	401	11520
232	403	11513
233	404	11504
234	406	11509
235	408	11523
236	410	11517
237	412	11532
238	414	11537
239	416	11537
240	418	11540
241	420	11537
242	421	11529
243	423	11520
244	424	11518
245	426	11523
246	429	11547
247	431	11546
248	432	11543
249	434	11536
250	436	11532
251	437	11524
252	439	11534
253	441	11527
254	443	11532
255	445	11538
256	447	11540
257	449	11538
258	450	11532
259	452	11536
260	454	11533
261	455	11527
262	457	11532
263	459	11541
264	461	11536
265	463	11539
266	465	11537
267	466	11532
268	468	11526
269	470	11528
270	471	11522
271	473	11523
272	476	11544
273	477	11537
274	479	11530
275	480	11521
276	482	11521
277	484	11522
278	486	11522
279	488	11516
280	490	11530
281	492	11526
282	493	11524
283	495	11522
284	497	11521
285	498	11516
286	500	11512
287	502	11509
288	503	11505
289	506	11513
290	507	11507
291	509	11504
292	511	11503
293	512	11496
294	514	11498
295	516	11493
296	517	11487
297	519	11485
298	521	11494
299	523	11492
300	524	11484
301	526	11482
302	528	11481
303	529	11475
304	531	11479
305	533	11476
306	535	11471
307	537	11472
308	538	11467
309	540	11469
310	542	11464
311	543	11458
312	545	11451
313	546	11445
314	548	11439
315	549	11437
316	551	11436
317	553	11436
318	555	11433
319	556	11428
320	558	11434
321	560	11435
322	562	11435
323	564	11428
324	565	11421
325	567	11431
326	569	11433
327	571	11427
328	573	11426
329	574	11423
330	576	11420
331	578	11417
332	579	11412
333	581	11405
334	583	11408
335	584	11405
336	586	11397
337	587	11390
338	589	11382
339	591	11383
340	592	11376
341	594	11375
342	596	11377
343	597	11375
344	600	11385
345	602	11383
346	603	11379
347	605	11373
348	606	11367
349	608	11375
350	610	11375
351	612	11371
352	614	11377
353	616	11377
354	617	11370
355	619	11372
356	621	11367
357	622	11361
358	624	11358
359	626	11355
360	628	11366
361	630	11370
362	632	11366
363	633	11360
364	635	11358
365	637	11359
366	639	11368
367	641	11374
368	644	11381
369	646	11388
370	648	11394
371	650	11390
372	652	11390
373	653	11386
374	655	11385
375	657	11392
376	659	11397
377	662	11404
378	663	11403
379	665	11399
380	667	11399
381	669	11395
382	670	11391
383	672	11386
384	674	11393
385	677	11416
386	679	11414
387	681	11410
388	683	11415
389	684	11411
390	686	11407
391	688	11404
392	690	11409
393	692	11409
394	694	11421
395	696	11421
396	698	11416
397	700	11418
398	702	11420
399	704	11420
400	705	11417
401	707	11421
402	709	11421
403	711	11419
404	713	11413
405	714	11414
406	716	11410
407	718	11408
408	719	11403
409	721	11400
410	723	11396
411	724	11393
412	726	11388
413	728	11384
414	729	11378
415	730	11372
416	732	11365
417	734	11365
418	736	11366
419	739	11388
420	741	11392
421	743	11391
422	745	11388
423	746	11383
424	748	11388
425	750	11388
426	752	11388
427	756	11420
428	759	11428
429	761	11431
430	763	11438
431	765	11439
432	767	11439
433	769	11446
434	771	11450
435	774	11456
436	775	11455
437	778	11460
438	779	11457
439	781	11454
440	783	11450
441	785	11454
442	788	11468
443	790	11478
444	793	11483
445	795	11488
446	797	11493
447	799	11493
448	802	11504
449	804	11505
450	806	11513
451	808	11516
452	810	11518
453	813	11525
454	816	11539
455	818	11544
456	820	11546
457	822	11547
458	824	11548
459	826	11549
460	828	11553
461	832	11574
462	834	11585
463	836	11585
464	839	11591
465	841	11591
466	842	11589
467	845	11592
468	847	11600
469	850	11614
470	852	11620
471	855	11629
472	857	11635
473	859	11636
474	862	11641
475	864	11650
476	868	11668
477	872	11701
478	884	11840
479	888	11859
480	893	11903
481	898	11941
482	903	11984
483	912	12079
484	916	12093
485	918	12100
486	920	12103
487	924	12118
488	926	12126
489	929	12142
